64032 silly lifecycle string_decoder@0.10.31~preinstall: no script for preinstall, continuing
67739 info linkStuff os-homedir@1.0.2
67740 silly linkStuff os-homedir@1.0.2 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67741 verbose linkBins os-homedir@1.0.2
67742 verbose linkMans os-homedir@1.0.2
67743 silly build os-locale@1.4.0
67744 info linkStuff os-locale@1.4.0
67745 silly linkStuff os-locale@1.4.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67746 verbose linkBins os-locale@1.4.0
67747 verbose linkMans os-locale@1.4.0
67748 silly build os-tmpdir@1.0.2
67749 info linkStuff os-tmpdir@1.0.2
67750 silly linkStuff os-tmpdir@1.0.2 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67751 verbose linkBins os-tmpdir@1.0.2
67752 verbose linkMans os-tmpdir@1.0.2
67753 silly build home-or-tmp@2.0.0
67754 info linkStuff home-or-tmp@2.0.0
67755 silly linkStuff home-or-tmp@2.0.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67756 verbose linkBins home-or-tmp@2.0.0
67757 verbose linkMans home-or-tmp@2.0.0
67758 silly build osenv@0.1.4
67759 info linkStuff osenv@0.1.4
67760 silly linkStuff osenv@0.1.4 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67761 verbose linkBins osenv@0.1.4
67762 verbose linkMans osenv@0.1.4
67763 silly build pako@0.2.9
67764 info linkStuff pako@0.2.9
67765 silly linkStuff pako@0.2.9 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67766 verbose linkBins pako@0.2.9
67767 verbose linkMans pako@0.2.9
67768 silly build browserify-zlib@0.1.4
67769 info linkStuff browserify-zlib@0.1.4
67770 silly linkStuff browserify-zlib@0.1.4 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67771 verbose linkBins browserify-zlib@0.1.4
67772 verbose linkMans browserify-zlib@0.1.4
67773 silly build is-extglob@1.0.0
67774 info linkStuff is-extglob@1.0.0
67775 silly linkStuff is-extglob@1.0.0 has /Users/Tandy/Project/tandyBlog/node_modules/parse-glob/node_modules as its parent node_modules
67776 verbose linkBins is-extglob@1.0.0
67777 verbose linkMans is-extglob@1.0.0
67778 silly build is-glob@2.0.1
67779 info linkStuff is-glob@2.0.1
67780 silly linkStuff is-glob@2.0.1 has /Users/Tandy/Project/tandyBlog/node_modules/parse-glob/node_modules as its parent node_modules
67781 verbose linkBins is-glob@2.0.1
67782 verbose linkMans is-glob@2.0.1
67783 silly build parse-glob@3.0.4
67784 info linkStuff parse-glob@3.0.4
67785 silly linkStuff parse-glob@3.0.4 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67786 verbose linkBins parse-glob@3.0.4
67787 verbose linkMans parse-glob@3.0.4
67788 silly build parse-json@2.2.0
67789 info linkStuff parse-json@2.2.0
67790 silly linkStuff parse-json@2.2.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67791 verbose linkBins parse-json@2.2.0
67792 verbose linkMans parse-json@2.2.0
67793 silly build parseurl@1.3.1
67794 info linkStuff parseurl@1.3.1
67795 silly linkStuff parseurl@1.3.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67796 verbose linkBins parseurl@1.3.1
67797 verbose linkMans parseurl@1.3.1
67798 silly build path-browserify@0.0.0
67799 info linkStuff path-browserify@0.0.0
67800 silly linkStuff path-browserify@0.0.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67801 verbose linkBins path-browserify@0.0.0
67802 verbose linkMans path-browserify@0.0.0
67803 silly build path-is-absolute@1.0.1
67804 info linkStuff path-is-absolute@1.0.1
67805 silly linkStuff path-is-absolute@1.0.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67806 verbose linkBins path-is-absolute@1.0.1
67807 verbose linkMans path-is-absolute@1.0.1
67808 silly build path-to-regexp@0.1.7
67809 info linkStuff path-to-regexp@0.1.7
67810 silly linkStuff path-to-regexp@0.1.7 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67811 verbose linkBins path-to-regexp@0.1.7
67812 verbose linkMans path-to-regexp@0.1.7
67813 silly build performance-now@0.2.0
67814 info linkStuff performance-now@0.2.0
67815 silly linkStuff performance-now@0.2.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67816 verbose linkBins performance-now@0.2.0
67817 verbose linkMans performance-now@0.2.0
67818 silly build pify@2.3.0
67819 info linkStuff pify@2.3.0
67820 silly linkStuff pify@2.3.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67821 verbose linkBins pify@2.3.0
67822 verbose linkMans pify@2.3.0
67823 silly build pinkie@2.0.4
67824 info linkStuff pinkie@2.0.4
67825 silly linkStuff pinkie@2.0.4 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67826 verbose linkBins pinkie@2.0.4
67827 verbose linkMans pinkie@2.0.4
67828 silly build pinkie-promise@2.0.1
67829 info linkStuff pinkie-promise@2.0.1
67830 silly linkStuff pinkie-promise@2.0.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67831 verbose linkBins pinkie-promise@2.0.1
67832 verbose linkMans pinkie-promise@2.0.1
67833 silly build path-type@1.1.0
67834 info linkStuff path-type@1.1.0
67835 silly linkStuff path-type@1.1.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67836 verbose linkBins path-type@1.1.0
67837 verbose linkMans path-type@1.1.0
67838 silly build path-exists@2.1.0
67839 info linkStuff path-exists@2.1.0
67840 silly linkStuff path-exists@2.1.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67841 verbose linkBins path-exists@2.1.0
67842 verbose linkMans path-exists@2.1.0
67843 silly build opn@4.0.2
67844 info linkStuff opn@4.0.2
67845 silly linkStuff opn@4.0.2 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67846 verbose linkBins opn@4.0.2
67847 verbose linkMans opn@4.0.2
67848 silly build find-up@1.1.2
67849 info linkStuff find-up@1.1.2
67850 silly linkStuff find-up@1.1.2 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67851 verbose linkBins find-up@1.1.2
67852 verbose linkMans find-up@1.1.2
67853 silly build pkg-dir@1.0.0
67854 info linkStuff pkg-dir@1.0.0
67855 silly linkStuff pkg-dir@1.0.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67856 verbose linkBins pkg-dir@1.0.0
67857 verbose linkMans pkg-dir@1.0.0
67858 silly build find-cache-dir@0.1.1
67859 info linkStuff find-cache-dir@0.1.1
67860 silly linkStuff find-cache-dir@0.1.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67861 verbose linkBins find-cache-dir@0.1.1
67862 verbose linkMans find-cache-dir@0.1.1
67863 silly build babel-loader@6.4.1
67864 info linkStuff babel-loader@6.4.1
67865 silly linkStuff babel-loader@6.4.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67866 verbose linkBins babel-loader@6.4.1
67867 verbose linkMans babel-loader@6.4.1
67868 silly build async@1.5.2
67869 info linkStuff async@1.5.2
67870 silly linkStuff async@1.5.2 has /Users/Tandy/Project/tandyBlog/node_modules/portfinder/node_modules as its parent node_modules
67871 verbose linkBins async@1.5.2
67872 verbose linkMans async@1.5.2
67873 silly build portfinder@1.0.13
67874 info linkStuff portfinder@1.0.13
67875 silly linkStuff portfinder@1.0.13 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67876 verbose linkBins portfinder@1.0.13
67877 verbose linkMans portfinder@1.0.13
67878 silly build loader-utils@1.1.0
67879 info linkStuff loader-utils@1.1.0
67880 silly linkStuff loader-utils@1.1.0 has /Users/Tandy/Project/tandyBlog/node_modules/postcss-loader/node_modules as its parent node_modules
67881 verbose linkBins loader-utils@1.1.0
67882 verbose linkMans loader-utils@1.1.0
67883 silly build postcss-message-helpers@2.0.0
67884 info linkStuff postcss-message-helpers@2.0.0
67885 silly linkStuff postcss-message-helpers@2.0.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67886 verbose linkBins postcss-message-helpers@2.0.0
67887 verbose linkMans postcss-message-helpers@2.0.0
67888 silly build postcss-value-parser@3.3.0
67889 info linkStuff postcss-value-parser@3.3.0
67890 silly linkStuff postcss-value-parser@3.3.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67891 verbose linkBins postcss-value-parser@3.3.0
67892 verbose linkMans postcss-value-parser@3.3.0
67893 silly build supports-color@3.2.3
67894 info linkStuff supports-color@3.2.3
67895 silly linkStuff supports-color@3.2.3 has /Users/Tandy/Project/tandyBlog/node_modules/postcss/node_modules as its parent node_modules
67896 verbose linkBins supports-color@3.2.3
67897 verbose linkMans supports-color@3.2.3
67898 silly build prepend-http@1.0.4
67899 info linkStuff prepend-http@1.0.4
67900 silly linkStuff prepend-http@1.0.4 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67901 verbose linkBins prepend-http@1.0.4
67902 verbose linkMans prepend-http@1.0.4
67903 silly build preserve@0.2.0
67904 info linkStuff preserve@0.2.0
67905 silly linkStuff preserve@0.2.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67906 verbose linkBins preserve@0.2.0
67907 verbose linkMans preserve@0.2.0
67908 silly build private@0.1.7
67909 info linkStuff private@0.1.7
67910 silly linkStuff private@0.1.7 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67911 verbose linkBins private@0.1.7
67912 verbose linkMans private@0.1.7
67913 silly build process@0.11.9
67914 info linkStuff process@0.11.9
67915 silly linkStuff process@0.11.9 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67916 verbose linkBins process@0.11.9
67917 verbose linkMans process@0.11.9
67918 silly build process-nextick-args@1.0.7
67919 info linkStuff process-nextick-args@1.0.7
67920 silly linkStuff process-nextick-args@1.0.7 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67921 verbose linkBins process-nextick-args@1.0.7
67922 verbose linkMans process-nextick-args@1.0.7
67923 silly build promise@7.1.1
67924 info linkStuff promise@7.1.1
67925 silly linkStuff promise@7.1.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67926 verbose linkBins promise@7.1.1
67927 verbose linkMans promise@7.1.1
67928 silly build proto-list@1.2.4
67929 info linkStuff proto-list@1.2.4
67930 silly linkStuff proto-list@1.2.4 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67931 verbose linkBins proto-list@1.2.4
67932 verbose linkMans proto-list@1.2.4
67933 silly build config-chain@1.1.11
67934 info linkStuff config-chain@1.1.11
67935 silly linkStuff config-chain@1.1.11 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67936 verbose linkBins config-chain@1.1.11
67937 verbose linkMans config-chain@1.1.11
67938 silly build proxy-addr@1.1.4
67939 info linkStuff proxy-addr@1.1.4
67940 silly linkStuff proxy-addr@1.1.4 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67941 verbose linkBins proxy-addr@1.1.4
67942 verbose linkMans proxy-addr@1.1.4
67943 silly build prr@0.0.0
67944 info linkStuff prr@0.0.0
67945 silly linkStuff prr@0.0.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67946 verbose linkBins prr@0.0.0
67947 verbose linkMans prr@0.0.0
67948 silly build errno@0.1.4
67949 info linkStuff errno@0.1.4
67950 silly linkStuff errno@0.1.4 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67951 verbose linkBins errno@0.1.4
67952 verbose link bins [ { errno: './cli.js' },
67952 verbose link bins   '/Users/Tandy/Project/tandyBlog/node_modules/.bin',
67952 verbose link bins   false ]
67953 verbose linkMans errno@0.1.4
67954 silly gentlyRm /Users/Tandy/Project/tandyBlog/node_modules/.bin/errno is being purged
67955 verbose gentlyRm don't care about contents; nuking /Users/Tandy/Project/tandyBlog/node_modules/.bin/errno
67956 silly build pseudomap@1.0.2
67957 info linkStuff pseudomap@1.0.2
67958 silly linkStuff pseudomap@1.0.2 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67959 verbose linkBins pseudomap@1.0.2
67960 verbose linkMans pseudomap@1.0.2
67961 silly build lru-cache@3.2.0
67962 info linkStuff lru-cache@3.2.0
67963 silly linkStuff lru-cache@3.2.0 has /Users/Tandy/Project/tandyBlog/node_modules/editorconfig/node_modules as its parent node_modules
67964 verbose linkBins lru-cache@3.2.0
67965 verbose linkMans lru-cache@3.2.0
67966 silly build punycode@1.4.1
67967 info linkStuff punycode@1.4.1
67968 silly linkStuff punycode@1.4.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67969 verbose linkBins punycode@1.4.1
67970 verbose linkMans punycode@1.4.1
67971 silly build q@1.5.0
67972 info linkStuff q@1.5.0
67973 silly linkStuff q@1.5.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67974 verbose linkBins q@1.5.0
67975 verbose linkMans q@1.5.0
67976 silly build coa@1.0.1
67977 info linkStuff coa@1.0.1
67978 silly linkStuff coa@1.0.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67979 verbose linkBins coa@1.0.1
67980 verbose linkMans coa@1.0.1
67981 silly build qs@6.4.0
67982 info linkStuff qs@6.4.0
67983 silly linkStuff qs@6.4.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67984 verbose linkBins qs@6.4.0
67985 verbose linkMans qs@6.4.0
67986 silly build querystring@0.2.0
67987 info linkStuff querystring@0.2.0
67988 silly linkStuff querystring@0.2.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67989 verbose linkBins querystring@0.2.0
67990 verbose linkMans querystring@0.2.0
67991 silly build querystring-es3@0.2.1
67992 info linkStuff querystring-es3@0.2.1
67993 silly linkStuff querystring-es3@0.2.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67994 verbose linkBins querystring-es3@0.2.1
67995 verbose linkMans querystring-es3@0.2.1
67996 silly build querystringify@0.0.4
67997 info linkStuff querystringify@0.0.4
67998 silly linkStuff querystringify@0.0.4 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
67999 verbose linkBins querystringify@0.0.4
68000 verbose linkMans querystringify@0.0.4
68001 silly build randomatic@1.1.6
68002 info linkStuff randomatic@1.1.6
68003 silly linkStuff randomatic@1.1.6 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68004 verbose linkBins randomatic@1.1.6
68005 verbose linkMans randomatic@1.1.6
68006 silly build randombytes@2.0.3
68007 info linkStuff randombytes@2.0.3
68008 silly linkStuff randombytes@2.0.3 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68009 verbose linkBins randombytes@2.0.3
68010 verbose linkMans randombytes@2.0.3
68011 silly build diffie-hellman@5.0.2
68012 info linkStuff diffie-hellman@5.0.2
68013 silly linkStuff diffie-hellman@5.0.2 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68014 verbose linkBins diffie-hellman@5.0.2
68015 verbose linkMans diffie-hellman@5.0.2
68016 silly build browserify-rsa@4.0.1
68017 info linkStuff browserify-rsa@4.0.1
68018 silly linkStuff browserify-rsa@4.0.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68019 verbose linkBins browserify-rsa@4.0.1
68020 verbose linkMans browserify-rsa@4.0.1
68021 silly build range-parser@1.2.0
68022 info linkStuff range-parser@1.2.0
68023 silly linkStuff range-parser@1.2.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68024 verbose linkBins range-parser@1.2.0
68025 verbose linkMans range-parser@1.2.0
68026 silly build esprima@3.0.0
68027 info linkStuff esprima@3.0.0
68028 silly linkStuff esprima@3.0.0 has /Users/Tandy/Project/tandyBlog/node_modules/redeyed/node_modules as its parent node_modules
68029 verbose linkBins esprima@3.0.0
68030 verbose link bins [ { esparse: './bin/esparse.js',
68030 verbose link bins     esvalidate: './bin/esvalidate.js' },
68030 verbose link bins   '/Users/Tandy/Project/tandyBlog/node_modules/redeyed/node_modules/.bin',
68030 verbose link bins   false ]
68031 verbose linkMans esprima@3.0.0
68032 silly gentlyRm /Users/Tandy/Project/tandyBlog/node_modules/redeyed/node_modules/.bin/esvalidate is being purged
68033 verbose gentlyRm don't care about contents; nuking /Users/Tandy/Project/tandyBlog/node_modules/redeyed/node_modules/.bin/esvalidate
68034 silly gentlyRm /Users/Tandy/Project/tandyBlog/node_modules/redeyed/node_modules/.bin/esparse is being purged
68035 verbose gentlyRm don't care about contents; nuking /Users/Tandy/Project/tandyBlog/node_modules/redeyed/node_modules/.bin/esparse
68036 silly build redeyed@1.0.1
68037 info linkStuff redeyed@1.0.1
68038 silly linkStuff redeyed@1.0.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68039 verbose linkBins redeyed@1.0.1
68040 verbose linkMans redeyed@1.0.1
68041 silly build cardinal@1.0.0
68042 info linkStuff cardinal@1.0.0
68043 silly linkStuff cardinal@1.0.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68044 verbose linkBins cardinal@1.0.0
68045 verbose link bins [ { cdl: './bin/cdl.js' },
68045 verbose link bins   '/Users/Tandy/Project/tandyBlog/node_modules/.bin',
68045 verbose link bins   false ]
68046 verbose linkMans cardinal@1.0.0
68047 silly gentlyRm /Users/Tandy/Project/tandyBlog/node_modules/.bin/cdl is being purged
68048 verbose gentlyRm don't care about contents; nuking /Users/Tandy/Project/tandyBlog/node_modules/.bin/cdl
68049 silly build reduce-function-call@1.0.2
68050 info linkStuff reduce-function-call@1.0.2
68051 silly linkStuff reduce-function-call@1.0.2 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68052 verbose linkBins reduce-function-call@1.0.2
68053 verbose linkMans reduce-function-call@1.0.2
68054 silly build reduce-css-calc@1.3.0
68055 info linkStuff reduce-css-calc@1.3.0
68056 silly linkStuff reduce-css-calc@1.3.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68057 verbose linkBins reduce-css-calc@1.3.0
68058 verbose linkMans reduce-css-calc@1.3.0
68059 silly build regenerate@1.3.2
68060 info linkStuff regenerate@1.3.2
68061 silly linkStuff regenerate@1.3.2 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68062 verbose linkBins regenerate@1.3.2
68063 verbose linkMans regenerate@1.3.2
68064 silly build regenerator-runtime@0.10.3
68065 info linkStuff regenerator-runtime@0.10.3
68066 silly linkStuff regenerator-runtime@0.10.3 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68067 verbose linkBins regenerator-runtime@0.10.3
68068 verbose linkMans regenerator-runtime@0.10.3
68069 silly build babel-runtime@6.23.0
68070 info linkStuff babel-runtime@6.23.0
68071 silly linkStuff babel-runtime@6.23.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68072 verbose linkBins babel-runtime@6.23.0
68073 verbose linkMans babel-runtime@6.23.0
68074 silly build babel-plugin-transform-es2015-typeof-symbol@6.23.0
68075 info linkStuff babel-plugin-transform-es2015-typeof-symbol@6.23.0
68076 silly linkStuff babel-plugin-transform-es2015-typeof-symbol@6.23.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68077 verbose linkBins babel-plugin-transform-es2015-typeof-symbol@6.23.0
68078 verbose linkMans babel-plugin-transform-es2015-typeof-symbol@6.23.0
68079 silly build babel-plugin-transform-es2015-template-literals@6.22.0
68080 info linkStuff babel-plugin-transform-es2015-template-literals@6.22.0
68081 silly linkStuff babel-plugin-transform-es2015-template-literals@6.22.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68082 verbose linkBins babel-plugin-transform-es2015-template-literals@6.22.0
68083 verbose linkMans babel-plugin-transform-es2015-template-literals@6.22.0
68084 silly build babel-plugin-transform-es2015-spread@6.22.0
68085 info linkStuff babel-plugin-transform-es2015-spread@6.22.0
68086 silly linkStuff babel-plugin-transform-es2015-spread@6.22.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68087 verbose linkBins babel-plugin-transform-es2015-spread@6.22.0
68088 verbose linkMans babel-plugin-transform-es2015-spread@6.22.0
68089 silly build babel-plugin-transform-es2015-literals@6.22.0
68090 info linkStuff babel-plugin-transform-es2015-literals@6.22.0
68091 silly linkStuff babel-plugin-transform-es2015-literals@6.22.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68092 verbose linkBins babel-plugin-transform-es2015-literals@6.22.0
68093 verbose linkMans babel-plugin-transform-es2015-literals@6.22.0
68094 silly build babel-plugin-transform-es2015-for-of@6.23.0
68095 info linkStuff babel-plugin-transform-es2015-for-of@6.23.0
68096 silly linkStuff babel-plugin-transform-es2015-for-of@6.23.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68097 verbose linkBins babel-plugin-transform-es2015-for-of@6.23.0
68098 verbose linkMans babel-plugin-transform-es2015-for-of@6.23.0
68099 silly build babel-plugin-transform-es2015-destructuring@6.23.0
68100 info linkStuff babel-plugin-transform-es2015-destructuring@6.23.0
68101 silly linkStuff babel-plugin-transform-es2015-destructuring@6.23.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68102 verbose linkBins babel-plugin-transform-es2015-destructuring@6.23.0
68103 verbose linkMans babel-plugin-transform-es2015-destructuring@6.23.0
68104 silly build babel-plugin-transform-es2015-block-scoped-functions@6.22.0
68105 info linkStuff babel-plugin-transform-es2015-block-scoped-functions@6.22.0
68106 silly linkStuff babel-plugin-transform-es2015-block-scoped-functions@6.22.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68107 verbose linkBins babel-plugin-transform-es2015-block-scoped-functions@6.22.0
68108 verbose linkMans babel-plugin-transform-es2015-block-scoped-functions@6.22.0
68109 silly build babel-plugin-transform-es2015-arrow-functions@6.22.0
68110 info linkStuff babel-plugin-transform-es2015-arrow-functions@6.22.0
68111 silly linkStuff babel-plugin-transform-es2015-arrow-functions@6.22.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68112 verbose linkBins babel-plugin-transform-es2015-arrow-functions@6.22.0
68113 verbose linkMans babel-plugin-transform-es2015-arrow-functions@6.22.0
68114 silly build babel-plugin-check-es2015-constants@6.22.0
68115 info linkStuff babel-plugin-check-es2015-constants@6.22.0
68116 silly linkStuff babel-plugin-check-es2015-constants@6.22.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68117 verbose linkBins babel-plugin-check-es2015-constants@6.22.0
68118 verbose linkMans babel-plugin-check-es2015-constants@6.22.0
68119 silly build babel-messages@6.23.0
68120 info linkStuff babel-messages@6.23.0
68121 silly linkStuff babel-messages@6.23.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68122 verbose linkBins babel-messages@6.23.0
68123 verbose linkMans babel-messages@6.23.0
68124 silly build regex-cache@0.4.3
68125 info linkStuff regex-cache@0.4.3
68126 silly linkStuff regex-cache@0.4.3 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68127 verbose linkBins regex-cache@0.4.3
68128 verbose linkMans regex-cache@0.4.3
68129 silly build regjsgen@0.2.0
68130 info linkStuff regjsgen@0.2.0
68131 silly linkStuff regjsgen@0.2.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68132 verbose linkBins regjsgen@0.2.0
68133 verbose linkMans regjsgen@0.2.0
68134 silly build jsesc@0.5.0
68135 info linkStuff jsesc@0.5.0
68136 silly linkStuff jsesc@0.5.0 has /Users/Tandy/Project/tandyBlog/node_modules/regjsparser/node_modules as its parent node_modules
68137 verbose linkBins jsesc@0.5.0
68138 verbose link bins [ { jsesc: 'bin/jsesc' },
68138 verbose link bins   '/Users/Tandy/Project/tandyBlog/node_modules/regjsparser/node_modules/.bin',
68138 verbose link bins   false ]
68139 verbose linkMans jsesc@0.5.0
68140 silly gentlyRm /Users/Tandy/Project/tandyBlog/node_modules/regjsparser/node_modules/.bin/jsesc is being purged
68141 verbose gentlyRm don't care about contents; nuking /Users/Tandy/Project/tandyBlog/node_modules/regjsparser/node_modules/.bin/jsesc
68142 silly build regjsparser@0.1.5
68143 info linkStuff regjsparser@0.1.5
68144 silly linkStuff regjsparser@0.1.5 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68145 verbose linkBins regjsparser@0.1.5
68146 verbose link bins [ { regjsparser: 'bin/parser' },
68146 verbose link bins   '/Users/Tandy/Project/tandyBlog/node_modules/.bin',
68146 verbose link bins   false ]
68147 verbose linkMans regjsparser@0.1.5
68148 silly gentlyRm /Users/Tandy/Project/tandyBlog/node_modules/.bin/regjsparser is being purged
68149 verbose gentlyRm don't care about contents; nuking /Users/Tandy/Project/tandyBlog/node_modules/.bin/regjsparser
68150 silly build regexpu-core@2.0.0
68151 info linkStuff regexpu-core@2.0.0
68152 silly linkStuff regexpu-core@2.0.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68153 verbose linkBins regexpu-core@2.0.0
68154 verbose linkMans regexpu-core@2.0.0
68155 silly build regexpu-core@1.0.0
68156 info linkStuff regexpu-core@1.0.0
68157 silly linkStuff regexpu-core@1.0.0 has /Users/Tandy/Project/tandyBlog/node_modules/postcss-modules-scope/node_modules as its parent node_modules
68158 verbose linkBins regexpu-core@1.0.0
68159 verbose linkMans regexpu-core@1.0.0
68160 silly build css-selector-tokenizer@0.6.0
68161 info linkStuff css-selector-tokenizer@0.6.0
68162 silly linkStuff css-selector-tokenizer@0.6.0 has /Users/Tandy/Project/tandyBlog/node_modules/postcss-modules-scope/node_modules as its parent node_modules
68163 verbose linkBins css-selector-tokenizer@0.6.0
68164 verbose linkMans css-selector-tokenizer@0.6.0
68165 silly build regexpu-core@1.0.0
68166 info linkStuff regexpu-core@1.0.0
68167 silly linkStuff regexpu-core@1.0.0 has /Users/Tandy/Project/tandyBlog/node_modules/postcss-modules-local-by-default/node_modules as its parent node_modules
68168 verbose linkBins regexpu-core@1.0.0
68169 verbose linkMans regexpu-core@1.0.0
68170 silly build css-selector-tokenizer@0.6.0
68171 info linkStuff css-selector-tokenizer@0.6.0
68172 silly linkStuff css-selector-tokenizer@0.6.0 has /Users/Tandy/Project/tandyBlog/node_modules/postcss-modules-local-by-default/node_modules as its parent node_modules
68173 verbose linkBins css-selector-tokenizer@0.6.0
68174 verbose linkMans css-selector-tokenizer@0.6.0
68175 silly build regexpu-core@1.0.0
68176 info linkStuff regexpu-core@1.0.0
68177 silly linkStuff regexpu-core@1.0.0 has /Users/Tandy/Project/tandyBlog/node_modules/css-selector-tokenizer/node_modules as its parent node_modules
68178 verbose linkBins regexpu-core@1.0.0
68179 verbose linkMans regexpu-core@1.0.0
68180 silly build css-selector-tokenizer@0.7.0
68181 info linkStuff css-selector-tokenizer@0.7.0
68182 silly linkStuff css-selector-tokenizer@0.7.0 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68183 verbose linkBins css-selector-tokenizer@0.7.0
68184 verbose linkMans css-selector-tokenizer@0.7.0
68185 silly build remove-trailing-separator@1.0.1
68186 info linkStuff remove-trailing-separator@1.0.1
68187 silly linkStuff remove-trailing-separator@1.0.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68188 verbose linkBins remove-trailing-separator@1.0.1
68189 verbose linkMans remove-trailing-separator@1.0.1
68190 silly build normalize-path@2.1.1
68191 info linkStuff normalize-path@2.1.1
68192 silly linkStuff normalize-path@2.1.1 has /Users/Tandy/Project/tandyBlog/node_modules as its parent node_modules
68193 verbose linkBins normalize-path@2.1.1
68194 verbose linkMans normalize-path@2.1.1
